access-location,nanoseconds
arr[242553],2412
arr[61334],1686
arr[244167],1332
arr[109163],1410
arr[10334],1464
arr[107650],1464
arr[148765],1416
arr[80520],1440
arr[131237],1368
arr[30809],1440
arr[156437],1464
arr[227401],1452
arr[64927],1416
arr[121202],1404
arr[220301],1434
arr[129093],1398
arr[13911],1332
arr[189114],1416
arr[17649],1440
arr[6753],1398
arr[170381],1656
arr[217793],1404
arr[180783],1410
arr[73749],1386
arr[80605],1428
arr[87884],1434
arr[137985],1428
arr[48505],1566
arr[55597],1410
arr[67061],1422
arr[93574],1434
arr[48150],1434
arr[144748],1410
arr[104093],1482
arr[157313],1638
arr[171434],1434
arr[211743],1386
arr[72430],1440
arr[18306],1362
arr[109333],1398
arr[119591],1446
arr[174743],1362
arr[86734],1428
arr[184519],1422
arr[45945],1398
arr[57035],1416
arr[79964],1392
arr[76209],1428
arr[12501],1410
arr[97613],1410
arr[82962],1392
arr[199234],1446
arr[81758],1428
arr[30097],1440
arr[22984],1368
arr[178715],1446
arr[117982],1434
arr[177321],1434
arr[227221],1422
arr[173579],1632
arr[10734],1392
arr[70795],1440
arr[221729],1404
arr[155482],1404
arr[174888],1416
arr[145395],1380
arr[76916],1410
arr[152984],1446
arr[217825],1452
arr[111575],1452
arr[12317],1440
arr[87417],1422
arr[36318],1452
arr[99051],1440
arr[38288],1422
arr[82264],1434
arr[172439],1350
arr[134604],1422
arr[174825],1404
arr[184940],1428
arr[248569],1338
arr[24139],1398
arr[150527],1416
arr[96680],1428
arr[54237],1494
arr[173511],1380
arr[25395],1422
arr[172219],1344
arr[117184],1446
arr[2616],1422
arr[95798],1422
arr[127918],1440
arr[89763],1452
arr[67527],1416
arr[49753],1404
arr[31004],1302
arr[212922],1320
arr[143021],1434
arr[183988],1692
arr[197100],1422
arr[4596],1470
arr[212657],1410
arr[50869],1404
arr[40915],1428
arr[78060],1908
arr[105509],1452
arr[139531],1440
arr[499],1458
arr[240113],1464
arr[80708],1476
arr[201792],1416
arr[238682],1308
arr[104847],1392
arr[102319],1314
arr[101714],1290
arr[159084],1362
arr[42182],1632
arr[127110],1452
arr[81303],1332
arr[159366],1374
arr[129726],1452
arr[177101],1446
arr[53636],1428
arr[235842],1278
arr[10981],1434
arr[103389],1386
arr[16846],1404
arr[240255],1422
arr[12763],1434
arr[217186],1434
arr[203707],1452
arr[17359],1404
arr[179843],1398
arr[4576],1434
